uri,total_count,sources
https://soilwise-he.github.io/soil-health#Protists,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#RootGrowth,4,"gpt-4.1, gpt-4o, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Acidification,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Decomposition,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Kastanozems,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#SoilMicrobialBiomassNitrogen,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Phaeozems,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#Nutrients,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilAggregateStability,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilMatricPotential,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#InterrillErosion,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#AminoAcids,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#SoilMicrobialBiomassCarbon,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SaturatedHydraulicConductivity,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilNutrientAvailability,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#Antimicrobials,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#PrecompressionStress,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#WaterInfiltration,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilNutrients,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#SoilRestoration,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Compost,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#AromaticHydrocarbons,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#Desertification,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#ClayContent,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#SOCStocks,3,"gpt-4.1, gpt-4o, keywords"
https://soilwise-he.github.io/soil-health#LandDegradation,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#BiochemicalProcesses,3,"gpt-4.1, keywords, thesauri"
https://soilwise-he.github.io/soil-health#GullyErosion,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#Stagnosols,3,"gpt-4.1, gpt-4o, thesauri"
https://soilwise-he.github.io/soil-health#RillErosion,3,"gpt-4.1, gpt-4o, thesauri"
