prefLabel,altLabels,displayName,uri,confidence
stubble mulching,,stubble mulching,http://aims.fao.org/aos/agrovoc/c_debb1abd,N/A
protective plants,,protective plants,http://aims.fao.org/aos/agrovoc/c_6248,N/A
ridging,,ridging,http://aims.fao.org/aos/agrovoc/c_6603,N/A
direct sowing,direct seeding; direct drilling,"direct sowing (direct seeding, direct drilling)",http://aims.fao.org/aos/agrovoc/c_25803,N/A
bioremediation,,bioremediation,http://aims.fao.org/aos/agrovoc/c_35028,N/A
soil pollutants,,soil pollutants,http://aims.fao.org/aos/agrovoc/c_e9c250f9,N/A
carbonates,,carbonates,http://aims.fao.org/aos/agrovoc/c_1306,N/A
Nematoda,,Nematoda,http://aims.fao.org/aos/agrovoc/c_5112,N/A
nematodes,eelworms; roundworms; threadworms,"nematodes (eelworms, roundworms, threadworms)",http://aims.fao.org/aos/agrovoc/c_47faeccc,N/A
Fungi,Eumycota; Eumycetes; True fungi; Fungi superior,"Fungi (Eumycota, Eumycetes, True fungi, Fungi superior)",http://aims.fao.org/aos/agrovoc/c_3145,N/A
ammonium sulphate,,ammonium sulphate,http://aims.fao.org/aos/agrovoc/c_354,N/A
copper sulfate,copper sulphate,copper sulfate (copper sulphate),http://aims.fao.org/aos/agrovoc/c_1869,N/A
ferrous sulphate,,ferrous sulphate,http://aims.fao.org/aos/agrovoc/c_2861,N/A
manganese sulphate,,manganese sulphate,http://aims.fao.org/aos/agrovoc/c_4571,N/A
potassium sulphate,sulphate of potash,potassium sulphate (sulphate of potash),http://aims.fao.org/aos/agrovoc/c_6142,N/A
zinc sulphate,,zinc sulphate,http://aims.fao.org/aos/agrovoc/c_8519,N/A
alluvium,,alluvium,http://aims.fao.org/aos/agrovoc/c_25347,N/A
litter for animals,bedding litter; animal litter; poultry litter; bedding,"litter for animals (bedding litter, animal litter, poultry litter, bedding)",http://aims.fao.org/aos/agrovoc/c_434,N/A
livestock manure,animal manures; dung,"livestock manure (animal manures, dung)",http://aims.fao.org/aos/agrovoc/c_596cf4e4,N/A
poultry manure,,poultry manure,http://aims.fao.org/aos/agrovoc/c_932275ef,N/A
stored solid manure,,stored solid manure,http://aims.fao.org/aos/agrovoc/c_4f549f1f,N/A
basalt,,basalt,http://aims.fao.org/aos/agrovoc/c_32387,N/A
granite,,granite,http://aims.fao.org/aos/agrovoc/c_32468,N/A
gravel,,gravel,http://aims.fao.org/aos/agrovoc/c_24850,N/A
loess,,loess,http://aims.fao.org/aos/agrovoc/c_5031d900,N/A
Fluvisols,,Fluvisols,http://aims.fao.org/aos/agrovoc/c_3000,N/A
Gypsisols,,Gypsisols,http://aims.fao.org/aos/agrovoc/c_61704b51,N/A
Histosols,,Histosols,http://aims.fao.org/aos/agrovoc/c_3636,N/A
Solonchaks,,Solonchaks,http://aims.fao.org/aos/agrovoc/c_7231,N/A
Solonetz,,Solonetz,http://aims.fao.org/aos/agrovoc/c_7232,N/A
primary nutrients,plant macronutrients,primary nutrients (plant macronutrients),http://aims.fao.org/aos/agrovoc/c_330862,N/A
secondary nutrients,,secondary nutrients,http://aims.fao.org/aos/agrovoc/c_330785,N/A
Vertisols,,Vertisols,http://aims.fao.org/aos/agrovoc/c_8199,N/A
straw,,straw,http://aims.fao.org/aos/agrovoc/c_7441,N/A
stubble,,stubble,http://aims.fao.org/aos/agrovoc/c_16650,N/A
ferromanganese oxides,,ferromanganese oxides,http://aims.fao.org/aos/agrovoc/c_bd3f4317,N/A
manganese dioxide,,manganese dioxide,http://aims.fao.org/aos/agrovoc/c_63132649,N/A
