prefLabel,altLabels,displayName,uri,baseline_origin
soil moisture deficit,soil water deficit,soil moisture deficit (soil water deficit),http://aims.fao.org/aos/agrovoc/c_25307,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil morphological features,,soil morphological features,http://aims.fao.org/aos/agrovoc/c_7179,DIRECT_LABEL_MATCH
soil morphology,,soil morphology,http://aims.fao.org/aos/agrovoc/c_15699,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil movement,,soil movement,http://aims.fao.org/aos/agrovoc/c_7180,DIRECT_LABEL_MATCH
soil mulches,,soil mulches,http://aims.fao.org/aos/agrovoc/c_14397,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil organic carbon,SOC,soil organic carbon (SOC),http://aims.fao.org/aos/agrovoc/c_389fe908,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil organic matter,SOM,soil organic matter (SOM),http://aims.fao.org/aos/agrovoc/c_35657,DIRECT_LABEL_MATCH
soil organisms,soil life,soil organisms (soil life),http://aims.fao.org/aos/agrovoc/c_33552,DIRECT_LABEL_MATCH
soil parent materials,substrate (soil),soil parent materials (substrate (soil)),http://aims.fao.org/aos/agrovoc/c_7181,DIRECT_LABEL_MATCH
soil penetration resistance,,soil penetration resistance,http://aims.fao.org/aos/agrovoc/c_d79c08d8,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil permeability,,soil permeability,http://aims.fao.org/aos/agrovoc/c_14398,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil pH,soil acidity; soil alkalinity,"soil pH (soil acidity, soil alkalinity)",http://aims.fao.org/aos/agrovoc/c_34901,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil physics,,soil physics,http://aims.fao.org/aos/agrovoc/c_14400,DIRECT_LABEL_MATCH
soil pollutants,,soil pollutants,http://aims.fao.org/aos/agrovoc/c_e9c250f9,DIRECT_LABEL_MATCH
soil pollution,,soil pollution,http://aims.fao.org/aos/agrovoc/c_7183,DIRECT_LABEL_MATCH
soil pore system,pores (soil),soil pore system (pores (soil)),http://aims.fao.org/aos/agrovoc/c_7184,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil porosity,,soil porosity,http://aims.fao.org/aos/agrovoc/c_35320,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil profiles,,soil profiles,http://aims.fao.org/aos/agrovoc/c_14402,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil properties,,soil properties,http://aims.fao.org/aos/agrovoc/c_330883,DIRECT_LABEL_MATCH
soil quality,soil health,soil quality (soil health),http://aims.fao.org/aos/agrovoc/c_a9645d28,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil reclamation plants,,soil reclamation plants,http://aims.fao.org/aos/agrovoc/c_7185,DIRECT_LABEL_MATCH
soil resources,,soil resources,http://aims.fao.org/aos/agrovoc/c_7187,DIRECT_LABEL_MATCH
soil respiration,,soil respiration,http://aims.fao.org/aos/agrovoc/c_33553,DIRECT_LABEL_MATCH
soil salinity,,soil salinity,http://aims.fao.org/aos/agrovoc/c_35317,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil salinization,,soil salinization,http://aims.fao.org/aos/agrovoc/c_35321,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil sampling,,soil sampling,http://aims.fao.org/aos/agrovoc/c_25271,DIRECT_LABEL_MATCH
soil scarification,,soil scarification,http://aims.fao.org/aos/agrovoc/c_24085,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil sciences,,soil sciences,http://aims.fao.org/aos/agrovoc/c_7188,DIRECT_LABEL_MATCH
soil scientists,,soil scientists,http://aims.fao.org/aos/agrovoc/c_7189,DIRECT_LABEL_MATCH
soil sealing,,soil sealing,http://aims.fao.org/aos/agrovoc/c_f9554e7c,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil security,,soil security,http://aims.fao.org/aos/agrovoc/c_f42c0d0e,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
soil seed banks,buried seeds; soil seed potential,"soil seed banks (buried seeds, soil seed potential)",http://aims.fao.org/aos/agrovoc/c_35298,DIRECT_LABEL_MATCH
soil separates,,soil separates,http://aims.fao.org/aos/agrovoc/c_7190,DIRECT_LABEL_MATCH; NARROWER_DESCENDANT
