identifier,label,uri,class
https://soilwise-he.github.io/soil-health#NutrientUptake,nutrient uptake,http://aims.fao.org/aos/agrovoc/c_5273,
https://soilwise-he.github.io/soil-health#SOCDecomposition,SOC decomposition,,
https://soilwise-he.github.io/soil-health#ProtectedAreas,protected areas,http://aims.fao.org/aos/agrovoc/c_37952,
https://soilwise-he.github.io/soil-health#ManureApplication,manure application,,
https://soilwise-he.github.io/soil-health#SOCSequestrationPotentials,SOC sequestration potentials,,
https://soilwise-he.github.io/soil-health#ChemicalPersistence,chemical persistence,,
https://soilwise-he.github.io/soil-health#Root,root,http://opendata.inrae.fr/thesaurusINRAE/c_9503,
https://soilwise-he.github.io/soil-health#SelectedOrganicCompounds,organic compounds,http://aims.fao.org/aos/agrovoc/c_5384,
https://soilwise-he.github.io/soil-health#FertiliserApplication,fertiliser application,http://aims.fao.org/aos/agrovoc/c_10795,
https://soilwise-he.github.io/soil-health#RiverFloodplainSoils,river floodplain soils,,
https://soilwise-he.github.io/soil-health#PAccumulation,P accumulation,,
https://soilwise-he.github.io/soil-health#ArableLand,arable land,http://aims.fao.org/aos/agrovoc/c_18948,
https://soilwise-he.github.io/soil-health#Leptosols,Leptosols,http://aims.fao.org/aos/agrovoc/c_da0af025,
https://soilwise-he.github.io/soil-health#FoodQuality,food quality,http://aims.fao.org/aos/agrovoc/c_10965,
https://soilwise-he.github.io/soil-health#LandUseEfficiency,land use efficiency,,
https://soilwise-he.github.io/soil-health#Process,process,,
https://soilwise-he.github.io/soil-health#MountainAreas,mountain areas,http://aims.fao.org/aos/agrovoc/c_3614,
https://soilwise-he.github.io/soil-health#Country,country,,
https://soilwise-he.github.io/soil-health#SoilFunctionalCapacity,soil functional capacity,,
https://soilwise-he.github.io/soil-health#Industry,industry,http://aims.fao.org/aos/agrovoc/c_3848,
https://soilwise-he.github.io/soil-health#PhosphorusAmount,phosphorus amount,,
https://soilwise-he.github.io/soil-health#SoilStructure,soil structure,http://aims.fao.org/aos/agrovoc/c_7196,
https://soilwise-he.github.io/soil-health#SoilSealingIndicators,soil sealing indicators,,
https://soilwise-he.github.io/soil-health#SoilpH,soil pH,http://aims.fao.org/aos/agrovoc/c_34901,
https://soilwise-he.github.io/soil-health#HumanBeings,human beings,http://aims.fao.org/aos/agrovoc/c_4586,
https://soilwise-he.github.io/soil-health#SoilOrganicCarbonPool,soil organic carbon pool,,
https://soilwise-he.github.io/soil-health#SoilRemediation,soil remediation,http://opendata.inrae.fr/thesaurusINRAE/c_13554,
https://soilwise-he.github.io/soil-health#NTransformationProcesses,N transformation processes,,
https://soilwise-he.github.io/soil-health#LivestockTrampling,livestock trampling,,
https://soilwise-he.github.io/soil-health#ParentMaterial,parent material,https://data.geoscience.earth/ncl/ISO11074v2025/3.306,
https://soilwise-he.github.io/soil-health#MonitoredNutrients,monitored nutrients,http://aims.fao.org/aos/agrovoc/c_5274,
https://soilwise-he.github.io/soil-health#LandUseIntensity,land use intensity,,
https://soilwise-he.github.io/soil-health#Measurements,measurements,,
https://soilwise-he.github.io/soil-health#NutrientBufferingCapacity,nutrient buffering capacity,,
https://soilwise-he.github.io/soil-health#UnsustainableLandUse,unsustainable land use,,
https://soilwise-he.github.io/soil-health#Peat,peat,http://aims.fao.org/aos/agrovoc/c_5647,
https://soilwise-he.github.io/soil-health#ArableCrops,arable crops,,
https://soilwise-he.github.io/soil-health#Volatility,volatility,http://aims.fao.org/aos/agrovoc/c_24425,
https://soilwise-he.github.io/soil-health#NStorage,N storage,,
https://soilwise-he.github.io/soil-health#SoilContamination,soil contamination,http://opendata.inrae.fr/thesaurusINRAE/c_c62d3822,
https://soilwise-he.github.io/soil-health#Fluxes,fluxes,,
https://soilwise-he.github.io/soil-health#Emissions,emissions,,
https://soilwise-he.github.io/soil-health#SoilPAvailability,soil P availability,,
https://soilwise-he.github.io/soil-health#MineralWeathering,mineral weathering,,
https://soilwise-he.github.io/soil-health#Region,region,http://opendata.inrae.fr/thesaurusINRAE/c_23212,
https://soilwise-he.github.io/soil-health#NLeaching,N leaching,,
https://soilwise-he.github.io/soil-health#CropProduction,crop production,http://aims.fao.org/aos/agrovoc/c_5976,
https://soilwise-he.github.io/soil-health#SustainableSoilManagement,sustainable soil management,,
https://soilwise-he.github.io/soil-health#AgriculturalFields,agricultural fields,,
https://soilwise-he.github.io/soil-health#NDVIMethod,normalised difference vegetation index method,,
https://soilwise-he.github.io/soil-health#RiskAssessment,risk assessment,http://aims.fao.org/aos/agrovoc/c_37932,
https://soilwise-he.github.io/soil-health#Overgrazing,overgrazing,http://aims.fao.org/aos/agrovoc/c_24945,
https://soilwise-he.github.io/soil-health#Deformation,deformation,,
https://soilwise-he.github.io/soil-health#Metals,metals,http://aims.fao.org/aos/agrovoc/c_29036,
https://soilwise-he.github.io/soil-health#DrainedOrganicSoils,drained organic soils,,
https://soilwise-he.github.io/soil-health#CarbonInput,carbon input,,
https://soilwise-he.github.io/soil-health#SpatialGradients,spatial gradients,,
https://soilwise-he.github.io/soil-health#LongtermChange,long-term change,,
https://soilwise-he.github.io/soil-health#PollutedSoils,polluted soils,http://aims.fao.org/aos/agrovoc/c_34324,
https://soilwise-he.github.io/soil-health#CarbonSources,carbon sources,,
https://soilwise-he.github.io/soil-health#Traffic,traffic,http://aims.fao.org/aos/agrovoc/c_37947,
https://soilwise-he.github.io/soil-health#Dinitrogen,dinitrogen,,
